trade_number,position_type,open_time,duration,sma_short_value,sma_long_value,sma_signal,macd_value,macd_long_value,macd_signal,rsi_value,rsi_signal,wallet
64,open,2024-07-28 23:55:00,0,68057.1968,67837.57765000002,buy,47.62140557086968,26.182351891924277,buy,64.27382127352016,neutral,1722.2729807108335
64,close,2024-07-29 02:30:00,0,68513.3024,68044.56040000003,buy,197.55871234173537,119.45118095859107,buy,77.1468977179105,sell,1780.9040506679257
65,open,2024-07-29,0,68057.71660000001,67841.54875000002,buy,46.97591479617404,30.341064472774228,buy,57.519943304591926,neutral,1780.9040506679257
65,close,2024-07-29 02:20:00,0,68457.55880000001,68024.92460000004,buy,128.0420448546065,86.78873664142213,buy,72.28242627615633,sell,1833.5429674035495
66,open,2024-07-29 00:05:00,0,68070.05200000001,67848.05260000001,buy,88.9136537641898,42.055582331057344,buy,78.951324431875,sell,1833.5429674035495
66,close,2024-07-29 06:20:00,0,69469.14339999993,68434.29495000002,buy,97.30239759580581,93.2568224913492,buy,64.07603425814162,neutral,1886.588877661013
67,open,2024-07-29 00:10:00,0,68079.43720000001,67854.09265000002,buy,110.48694037715904,55.741853940277686,buy,69.8785988318677,neutral,1886.588877661013
67,close,2024-07-29 03:00:00,0,68685.49759999997,68104.22465000003,buy,277.0729874053068,220.9621490922937,buy,72.65772912563048,sell,1942.6631779875208
68,open,2024-07-29 00:15:00,0,68096.39700000003,67861.55840000002,buy,149.10274110952741,74.41403137412763,buy,76.40881885949896,sell,1942.6631779875208
68,close,2024-07-29 13:10:00,0,69626.76899999996,69127.64800000003,buy,68.80531588671147,45.08306624815125,buy,62.699271033741574,neutral,1997.8421668840576
69,open,2024-07-29 00:20:00,0,68114.04960000001,67869.14150000003,buy,181.2183372262225,95.7748925445466,buy,77.23260637009676,sell,1997.8421668840576
69,close,2024-07-29 14:55:00,0,69426.71399999996,69236.56650000002,buy,-305.96104299141734,-237.87004809851146,sell,23.643624176704474,buy,1958.5059149148267
70,open,2024-07-29 00:25:00,0,68129.12960000001,67875.88145000003,buy,197.24476338914246,116.06886671346578,buy,71.86568039059092,sell,1958.5059149148267
70,close,2024-07-29 13:00:00,0,69612.20499999996,69109.00965000002,buy,59.79538455900911,34.65680478609503,buy,65.02648028072454,neutral,2016.295551563477
71,open,2024-07-29 00:30:00,0,68143.99040000001,67882.41150000002,buy,205.4800002587872,133.95109342253005,buy,70.32245572465477,sell,2016.295551563477
71,close,2024-07-29 13:00:00,0,69612.20499999996,69109.00965000002,buy,59.79538455900911,34.65680478609503,buy,65.02648028072454,neutral,2077.335815591822
72,open,2024-07-29 00:35:00,0,68160.24780000001,67888.69160000003,buy,209.5003140425979,149.0609375465436,buy,70.25182038396848,sell,2077.335815591822
72,close,2024-07-29 13:00:00,0,69612.20499999996,69109.00965000002,buy,59.79538455900911,34.65680478609503,buy,65.02648028072454,neutral,2140.2932342326358
73,open,2024-07-29 00:40:00,0,68174.14300000001,67894.87105000003,buy,200.6006702658924,159.36888409041336,buy,62.952791072888346,neutral,2140.2932342326358
73,close,2024-07-29 06:00:00,0,69386.57019999994,68399.09260000003,buy,105.74696641905757,88.89873793078338,buy,67.19873201367744,neutral,2203.3083531254115
74,open,2024-07-29 00:45:00,0,68189.4384,67901.54110000003,buy,200.13683915576257,167.5224751034832,buy,66.37722291035021,neutral,2203.3083531254115
74,close,2024-07-29 13:00:00,0,69612.20499999996,69109.00965000002,buy,59.79538455900911,34.65680478609503,buy,65.02648028072454,neutral,2270.790305516524
75,open,2024-07-29 00:50:00,0,68203.958,67908.01105000003,buy,196.3750701759709,173.29299411798075,buy,65.54806522735502,neutral,2270.790305516524
75,close,2024-07-29 13:00:00,0,69612.20499999996,69109.00965000002,buy,59.79538455900911,34.65680478609503,buy,65.02648028072454,neutral,2341.278155885664
76,open,2024-07-29 00:55:00,0,68216.7196,67914.09105000003,buy,184.96849823821685,175.62809494202799,buy,60.98138303408784,neutral,2341.278155885664
76,close,2024-07-29 06:00:00,0,69386.57019999994,68399.09260000003,buy,105.74696641905757,88.89873793078338,buy,67.19873201367744,neutral,2408.9487647509936
77,open,2024-07-29 02:15:00,0,68433.92880000001,68016.00710000003,buy,92.2050725678273,76.47540958812604,buy,69.36270393303911,neutral,2408.9487647509936
77,close,2024-07-29 14:50:00,0,69455.19419999997,69235.32645000002,buy,-280.11215091199847,-220.847299375285,sell,24.40574475132098,buy,2357.452744497831
78,open,2024-07-29 02:20:00,0,68457.55880000001,68024.92460000004,buy,128.0420448546065,86.78873664142213,buy,72.28242627615633,sell,2357.452744497831
78,close,2024-07-29 14:45:00,0,69483.11419999997,69234.34645000003,buy,-248.33975191735954,-206.0310864911066,sell,27.985168708513825,buy,2317.673298439986
79,open,2024-07-29 02:25:00,0,68482.719,68033.96455000003,buy,152.46654399833642,99.92429811280499,buy,70.80757268939705,sell,2317.673298439986
79,close,2024-07-29 14:45:00,0,69483.11419999997,69234.34645000003,buy,-248.33975191735954,-206.0310864911066,sell,27.985168708513825,buy,2280.3906242797025
80,open,2024-07-29 02:30:00,0,68513.3024,68044.56040000003,buy,197.55871234173537,119.45118095859107,buy,77.1468977179105,sell,2280.3906242797025
80,close,2024-07-29 14:05:00,0,69598.23499999997,69204.45610000002,buy,-171.21169996770914,-71.93401737561268,sell,26.35606967560421,buy,2232.3368796670748
81,open,2024-07-29 02:35:00,0,68536.5,68054.37220000004,buy,215.54626631627616,138.6701980301281,buy,68.42747673084382,neutral,2232.3368796670748
